Year,Team,Position,Depth Chart,Name
1991,CHI,WR,WR,Tom Waddle
1991,NE,SPEC,P,Bryan Wagner
1991,PHO,DL,NT,Jim Wahler
1991,NO,TE,TE,Frank Wainright
1991,CLE,LB,OLB,Van Waiters
1991,SEA,SPEC,P,Alex Waits
1991,SD,TE,TE,Mark Walczak
1991,SD,TE,TE,Derrick Walker
1991,MIN,RB,RB,Herschel Walker
1991,DEN,DL,DE,Kenny Walker
1991,CIN,LB,ILB,Kevin Walker
1991,PIT,DB,CB,Sammy Walker
1991,IND,LB,LB,Tony Walker
1991,RAI,LB,LB,Aaron Wallace
1991,SF,OL,OT,Steve Wallace
1991,NYG,DB,CB,Everson Walls
1991,SF,TE,TE,Wesley Walls
