PLAYER,SEASON,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Mike Mularkey,1983,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Mularkey,1984,14.0,134.0,8.5,26.0,2.0,0.0,0.0,,,0.0,1.0,0.0
Mike Mularkey,1985,13.0,196.0,14.3,51.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Mularkey,1986,11.0,89.0,8.8,20.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Mularkey,1987,1.0,6.0,6.0,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Mularkey,1988,3.0,39.0,13.0,19.0,0.0,1.0,-6.0,-6.0,-6.0,0.0,0.0,0.0
Mike Mularkey,1989,27.0,402.0,15.9,34.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Mularkey,1990,32.0,365.0,12.7,28.0,3.0,0.0,0.0,,,0.0,1.0,0.0
Mike Mularkey,1991,6.0,67.0,9.8,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Pleasant,1984,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Pritchard,1991,60.0,743.0,12.8,29.0,2.0,0.0,0.0,,,0.0,2.0,2.0
Mike Pritchard,1992,77.0,827.0,11.5,38.0,5.0,5.0,37.0,3.9,22.0,0.0,3.0,2.0
Mike Pritchard,1993,74.0,736.0,9.9,34.0,7.0,2.0,4.0,2.0,4.0,0.0,1.0,1.0
Mike Pritchard,1994,19.0,271.0,15.1,50.0,1.0,0.0,0.0,,,0.0,1.0,1.0
Mike Pritchard,1995,33.0,441.0,13.5,45.0,3.0,6.0,17.0,2.8,9.0,0.0,1.0,1.0
Mike Pritchard,1996,21.0,328.0,16.4,44.0,1.0,2.0,13.0,6.5,7.0,0.0,0.0,0.0
Mike Pritchard,1997,64.0,843.0,12.8,61.0,2.0,1.0,14.0,14.0,14.0,0.0,2.0,1.0
Mike Pritchard,1998,58.0,742.0,13.4,50.0,3.0,1.0,17.0,17.0,17.0,0.0,1.0,1.0
Mike Pritchard,1999,29.0,409.0,13.7,51.0,2.0,0.0,0.0,,,0.0,0.0,0.0
