PLAYER,SEASON,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
Jon Ryan,2008,102.0,4661.0,3859.0,72.0,46.2,38.6,1.0,12.0,12.0,29.0,17.0,9.0,51.0,462.0,1.0
Jon Ryan,2009,111.0,5175.0,4346.0,77.0,46.5,39.1,0.0,6.0,17.0,36.0,13.0,19.0,56.0,569.0,1.0
Jon Ryan,2010,111.0,4728.0,4171.0,67.0,43.3,38.4,0.0,8.0,18.0,40.0,3.0,31.0,51.0,497.0,1.0
Jon Ryan,2011,112.0,5229.0,4433.0,77.0,47.1,39.8,0.0,3.0,19.0,39.0,9.0,23.0,58.0,616.0,2.0
Jon Ryan,2012,86.0,3837.0,3354.0,73.0,44.6,38.9,0.0,11.0,12.0,38.0,5.0,21.0,37.0,383.0,1.0
Jon Ryan,2013,98.0,4162.0,3801.0,69.0,43.5,39.2,2.0,3.0,20.0,35.0,9.0,36.0,28.0,181.0,0.0
Jon Ryan,2014,86.0,3712.0,3261.0,66.0,43.8,38.4,1.0,10.0,9.0,37.0,6.0,31.0,29.0,331.0,1.0
Jon Ryan,2015,97.0,4374.0,3764.0,73.0,45.2,38.6,0.0,6.0,12.0,36.0,7.0,28.0,44.0,470.0,1.0
Jon Ryan,2016,100.0,4545.0,4043.0,66.0,45.9,41.2,1.0,7.0,13.0,35.0,5.0,26.0,48.0,402.0,0.0
Jon Ryan,2017,105.0,4675.0,4071.0,74.0,43.5,38.7,0.0,11.0,13.0,33.0,6.0,22.0,53.0,484.0,0.0
Jordan Berry,2015,91.0,3988.0,3574.0,79.0,44.3,40.1,0.0,9.0,17.0,38.0,4.0,28.0,33.0,334.0,0.0
Jordan Berry,2016,89.0,4026.0,3598.0,64.0,46.0,41.4,1.0,16.0,10.0,31.0,4.0,21.0,37.0,348.0,0.0
Jordan Berry,2017,90.0,3840.0,3563.0,62.0,42.8,39.6,0.0,10.0,11.0,38.0,3.0,33.0,33.0,217.0,0.0
Jordan Berry,2018,75.0,3268.0,2867.0,69.0,43.2,38.6,0.0,8.0,15.0,32.0,4.0,27.0,21.0,321.0,1.0
Jordan Berry,2019,86.0,3932.0,3550.0,69.0,46.2,41.5,0.0,6.0,14.0,27.0,5.0,27.0,34.0,282.0,0.0
Jordan Berry,2020,60.0,2734.0,2404.0,62.0,45.8,40.0,0.0,8.0,4.0,24.0,4.0,22.0,22.0,250.0,0.0
Jordan Berry,2021,87.0,3975.0,3557.0,64.0,46.3,41.8,1.0,11.0,12.0,29.0,3.0,18.0,42.0,358.0,1.0
Jordan Berry,2022,5.0,243.0,199.0,56.0,49.6,38.6,0.0,0.0,0.0,1.0,0.0,2.0,3.0,44.0,0.0
Jordan Stout,2022,67.0,3105.0,2791.0,69.0,46.4,41.3,0.0,6.0,6.0,32.0,7.0,22.0,26.0,174.0,0.0
Jordan Stout,2023,90.0,4284.0,3572.0,67.0,48.1,39.0,1.0,10.0,7.0,36.0,6.0,23.0,43.0,592.0,2.0
Joseph Charlton,2020,45.0,2082.0,1838.0,67.0,46.2,41.0,0.0,2.0,6.0,21.0,3.0,16.0,18.0,184.0,1.0
Joseph Charlton,2021,40.0,1661.0,1553.0,57.0,43.0,40.3,1.0,3.0,5.0,13.0,2.0,18.0,11.0,68.0,0.0
Josh Bidwell,2000,78.0,3003.0,2698.0,53.0,39.1,34.0,0.0,3.0,16.0,22.0,5.0,27.0,27.0,205.0,1.0
Josh Bidwell,2001,88.0,3759.0,3265.0,68.0,43.1,37.6,0.0,5.0,17.0,25.0,10.0,21.0,35.0,294.0,0.0
Josh Bidwell,2002,80.0,3296.0,2819.0,57.0,41.1,34.3,1.0,2.0,8.0,26.0,6.0,22.0,41.0,357.0,1.0
