PLAYER,SEASON,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Aaron Hayden,1996,55.0,166.0,2.1,13.0,0.0,1.0,10.0,10.0,10.0,0.0,1.0,0.0
Aaron Hayden,1997,32.0,148.0,3.1,21.0,1.0,2.0,11.0,5.5,7.0,0.0,0.0,0.0
Aaron Hayden,1998,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Jones,2017,100.0,553.0,6.1,46.0,4.0,15.0,34.0,2.4,9.0,2.0,0.0,0.0
Aaron Jones,2018,147.0,780.0,5.1,67.0,9.0,29.0,227.0,7.8,24.0,1.0,1.0,1.0
Aaron Jones,2019,269.0,1202.0,4.3,56.0,19.0,55.0,505.0,7.3,67.0,4.0,3.0,2.0
Aaron Jones,2020,221.0,1230.0,5.4,77.0,10.0,52.0,376.0,7.1,30.0,2.0,4.0,1.0
Aaron Jones,2021,183.0,840.0,4.6,57.0,4.0,61.0,520.0,8.2,75.0,6.0,2.0,1.0
Aaron Jones,2022,213.0,1121.0,5.0,36.0,2.0,59.0,395.0,7.1,30.0,5.0,5.0,3.0
Aaron Jones,2023,182.0,888.0,4.7,53.0,5.0,35.0,260.0,8.2,51.0,1.0,2.0,1.0
Aaron Ripkowski,2015,0.0,0.0,,,0.0,2.0,21.0,10.5,18.0,0.0,0.0,0.0
Aaron Ripkowski,2016,45.0,190.0,3.4,20.0,3.0,14.0,98.0,6.4,20.0,1.0,1.0,1.0
Aaron Ripkowski,2017,5.0,13.0,2.9,4.0,0.0,9.0,48.0,5.4,12.0,0.0,0.0,0.0
Aaron Shampklin,2022,28.0,106.0,3.8,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Shea,2001,0.0,0.0,,,0.0,14.0,86.0,6.5,12.0,0.0,0.0,0.0
Aaron Stecker,2000,12.0,31.0,1.7,14.0,0.0,1.0,15.0,15.0,15.0,0.0,1.0,1.0
Aaron Stecker,2001,24.0,72.0,2.6,17.0,1.0,10.0,101.0,9.6,35.0,1.0,0.0,0.0
Aaron Stecker,2002,32.0,192.0,8.1,59.0,0.0,14.0,72.0,4.7,12.0,0.0,3.0,2.0
Aaron Stecker,2003,37.0,125.0,4.0,15.0,0.0,9.0,48.0,6.0,14.0,1.0,1.0,0.0
Aaron Stecker,2004,58.0,244.0,4.1,42.0,2.0,29.0,174.0,5.0,26.0,0.0,1.0,1.0
Aaron Stecker,2005,95.0,363.0,3.2,32.0,0.0,35.0,281.0,7.3,41.0,0.0,3.0,3.0
Aaron Stecker,2006,4.0,11.0,2.5,4.0,0.0,19.0,190.0,8.9,48.0,0.0,0.0,0.0
Aaron Stecker,2007,115.0,448.0,4.1,26.0,5.0,36.0,211.0,5.7,26.0,0.0,1.0,1.0
Aaron Stecker,2008,27.0,140.0,5.0,19.0,1.0,10.0,54.0,5.4,12.0,1.0,1.0,0.0
Aaron Stecker,2009,5.0,15.0,3.0,6.0,0.0,5.0,34.0,6.6,14.0,0.0,0.0,0.0
Ab Wright,1930,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Abdul Karim al Jabbar,1996,307.0,1116.0,3.6,29.0,11.0,23.0,139.0,5.4,23.0,0.0,4.0,3.0
Abdul Karim al Jabbar,1997,288.0,908.0,3.1,22.0,15.0,29.0,261.0,9.1,36.0,1.0,3.0,2.0
Abdul Karim al Jabbar,1998,300.0,1060.0,3.3,45.0,7.0,24.0,111.0,4.5,18.0,0.0,2.0,1.0
Abdul Karim al Jabbar,1999,286.0,890.0,2.9,21.0,2.0,34.0,168.0,5.5,21.0,2.0,0.0,0.0
Abdul Karim al Jabbar,2000,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Abe Karnofsky,1945,41.0,134.0,2.4,19.0,2.0,5.0,113.0,22.5,38.0,0.0,3.0,0.0
Abe Karnofsky,1946,36.0,84.0,2.2,35.0,1.0,8.0,139.0,14.8,56.0,1.0,8.0,0.0
Abe Martin,1932,17.0,122.0,7.2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Abner Haynes,1960,156.0,875.0,5.9,8.0,9.0,55.0,576.0,9.5,17.0,3.0,9.0,0.0
Abner Haynes,1961,179.0,841.0,4.7,59.0,9.0,34.0,558.0,17.2,69.0,3.0,1.0,0.0
Abner Haynes,1962,235.0,1075.0,4.5,71.0,14.0,42.0,618.0,17.2,78.0,7.0,5.0,1.0
Abner Haynes,1963,99.0,352.0,4.8,46.0,4.0,33.0,470.0,18.4,73.0,2.0,6.0,0.0
Abner Haynes,1964,139.0,697.0,4.2,80.0,4.0,38.0,562.0,13.5,68.0,3.0,0.0,0.0
Abner Haynes,1965,41.0,166.0,3.2,47.0,3.0,26.0,216.0,6.7,71.0,2.0,4.0,0.0
Abner Haynes,1966,129.0,304.0,2.1,20.0,2.0,46.0,480.0,11.4,52.0,1.0,11.0,0.0
Abner Haynes,1967,144.0,692.0,3.5,65.0,4.0,32.0,200.0,6.6,22.0,0.0,12.0,0.0
Abu Wilson,1998,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
