PLAYER,TOTAL,SOLO,AST,SCK,SFTY,PDEF,INT,YDS,AVG,LNG,TDS,FF,FR
Deommodore Lenoir,229.0,138.0,66.0,1.0,0.0,22.0,7.0,69.0,9.9,28.0,0.0,1.0,0.0
Deon Bush,161.0,116.0,28.0,1.0,0.0,18.0,6.0,150.0,25.0,91.0,1.0,1.0,0.0
Deon Figures,308.0,276.0,28.0,1.0,0.0,71.0,9.0,139.0,17.4,78.0,0.0,2.0,2.0
Deon Grant,855.0,600.0,161.0,6.5,0.0,119.0,32.0,283.0,8.4,43.0,0.0,4.0,12.0
Deon Humphrey,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Deon King,32.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Deon Lacey,71.0,54.0,11.0,1.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Deon Simon,46.0,22.0,23.0,3.0,0.0,2.0,0.0,0.0,,,0.0,0.0,1.0
Deone Bucannon,496.0,347.0,124.0,9.0,0.0,13.0,2.0,78.0,39.0,39.0,1.0,7.0,5.0
Deontae Skinner,42.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Deonte Banks,67.0,53.0,11.0,0.0,0.0,11.0,2.0,6.0,3.0,6.0,0.0,0.0,0.0
Deonte Gibson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dequan Jackson,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Deral Boykin,49.0,41.0,7.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0
Deral Teteak,0.0,0.0,0.0,0.0,0.0,0.0,6.0,84.0,14.0,32.0,0.0,0.0,5.0
Derek Barnett,195.0,108.0,74.0,29.5,0.0,1.0,0.0,0.0,,,0.0,4.0,3.0
Derek Bunch,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Derek Combs,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Derek Cox,262.0,209.0,39.0,0.0,0.0,42.0,13.0,40.0,2.8,16.0,0.0,1.0,1.0
Derek Landri,164.0,108.0,42.0,15.0,0.0,12.0,1.0,3.0,3.0,3.0,0.0,1.0,5.0
Derek Lokey,10.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Derek M Smith,506.0,326.0,133.0,7.5,0.0,14.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0
