PLAYER,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
Blake Gillikin,241.0,11553.0,10160.0,81.0,47.9,42.1,0.0,16.0,34.0,84.0,16.0,62.0,113.0,1073.0,0.0
Bob Grupp,216.0,8756.0,7587.0,74.0,41.0,35.7,2.0,40.0,13.0,51.0,20.0,22.0,119.0,769.0,0.0
Bob Parsons,804.0,30908.0,26101.0,81.0,38.8,32.8,5.0,73.0,113.0,160.0,62.0,116.0,434.0,3567.0,2.0
Bobby Joe Green,980.0,41604.0,36672.0,75.0,42.4,37.5,3.0,65.0,143.0,3.0,96.0,233.0,437.0,3012.0,2.0
Bobby Walden,1028.0,42520.0,36532.0,76.0,41.7,35.9,6.0,103.0,119.0,45.0,97.0,161.0,538.0,4048.0,4.0
Brad Costello,33.0,1239.0,992.0,73.0,39.7,32.1,1.0,3.0,8.0,1.0,4.0,3.0,14.0,167.0,0.0
Brad Maynard,1465.0,60685.0,53135.0,75.0,41.6,36.3,9.0,224.0,212.0,469.0,111.0,270.0,639.0,5330.0,5.0
Brad Nortman,585.0,26250.0,22679.0,78.0,45.0,38.9,5.0,47.0,69.0,190.0,52.0,155.0,257.0,2531.0,4.0
Brad Robbins,84.0,3740.0,3407.0,65.0,44.5,41.0,0.0,9.0,8.0,23.0,6.0,29.0,32.0,213.0,0.0
Brad Wing,435.0,19318.0,16769.0,74.0,45.0,38.9,3.0,34.0,74.0,130.0,33.0,96.0,195.0,1889.0,1.0
