PLAYER,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Alvin Moore,197.0,641.0,3.1,18.0,7.0,42.0,291.0,7.0,16.0,1.0,10.0,7.0
Alvin Pearman,63.0,270.0,5.9,45.0,2.0,38.0,285.0,7.3,23.0,1.0,8.0,5.0
Alvin Ross,14.0,54.0,3.8,12.0,1.0,5.0,41.0,8.2,17.0,0.0,0.0,0.0
Ameer Abdullah,511.0,2129.0,4.5,45.0,8.0,186.0,1386.0,7.8,36.0,9.0,9.0,5.0
Amos Bullocks,158.0,620.0,3.5,73.0,5.0,15.0,180.0,11.3,22.0,2.0,8.0,0.0
Amos Lawrence,18.0,55.0,2.8,14.0,1.0,5.0,22.0,4.4,6.0,0.0,5.0,4.0
Amos Marsh,750.0,3222.0,4.4,71.0,25.0,133.0,1384.0,11.1,85.0,7.0,35.0,0.0
Amos Zereoue,608.0,2333.0,3.9,55.0,14.0,145.0,1184.0,8.1,62.0,1.0,7.0,5.0
Amp Lee,398.0,1550.0,3.2,66.0,7.0,350.0,3332.0,9.1,62.0,16.0,14.0,8.0
Andra Franklin,715.0,2567.0,3.6,29.0,24.0,6.0,15.0,2.5,6.0,1.0,19.0,14.0
Andre Bowden,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andre Brown,361.0,1450.0,3.6,31.0,16.0,42.0,254.0,6.4,17.0,0.0,9.0,3.0
Andre Ellington,501.0,2027.0,3.9,80.0,13.0,175.0,1576.0,9.0,81.0,3.0,4.0,3.0
Andre Hall,103.0,473.0,4.2,62.0,3.0,7.0,106.0,12.6,65.0,0.0,3.0,2.0
Andre Thomas,6.0,4.0,0.7,5.0,0.0,2.0,13.0,6.5,10.0,0.0,0.0,0.0
Andre Williams,443.0,1466.0,2.9,50.0,10.0,21.0,155.0,8.4,24.0,0.0,3.0,2.0
Andrew Beck,5.0,3.0,0.5,2.0,1.0,11.0,55.0,5.6,26.0,2.0,1.0,1.0
Andrew Jones,43.0,110.0,2.8,18.0,1.0,10.0,52.0,5.8,12.0,0.0,1.0,0.0
Andrew Pinnock,18.0,56.0,3.8,15.0,0.0,4.0,31.0,6.8,14.0,0.0,1.0,0.0
Andy Bolton,35.0,151.0,5.8,22.0,0.0,1.0,6.0,6.0,6.0,0.0,4.0,0.0
Andy Dudish,1.0,5.0,5.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Farkas,632.0,2242.0,3.6,36.0,26.0,82.0,1117.0,13.3,99.0,14.0,1.0,0.0
Andy Fletcher,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Hillhouse,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Hopkins,2.0,2.0,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Janovich,17.0,55.0,3.5,28.0,4.0,32.0,289.0,9.2,32.0,1.0,0.0,0.0
Andy Johnson,509.0,2067.0,3.6,69.0,14.0,158.0,1696.0,10.9,53.0,9.0,14.0,1.0
Andy Livingston,291.0,1216.0,3.4,30.0,7.0,46.0,474.0,10.9,51.0,3.0,9.0,0.0
Andy Marefos,109.0,286.0,2.2,14.0,3.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0
Andy Natowich,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Reid,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Tomasic,60.0,214.0,3.9,34.0,0.0,1.0,27.0,27.0,27.0,0.0,0.0,0.0
Andy Uram,251.0,1107.0,5.4,97.0,4.0,59.0,1108.0,18.1,64.0,10.0,0.0,0.0
Angie Brovelli,97.0,348.0,3.4,20.0,3.0,6.0,137.0,27.9,61.0,0.0,0.0,0.0
Anthony Corley,18.0,89.0,4.7,23.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Daigle,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Dixon,485.0,1706.0,3.2,47.0,24.0,53.0,302.0,5.3,21.0,1.0,1.0,0.0
Anthony Green,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Hutchison,22.0,63.0,2.8,7.0,2.0,1.0,7.0,7.0,7.0,0.0,1.0,0.0
